KEY,Japanese
produce.reward.card_select_shortage.sheet.description, まだ選択可能な枚数が残っています\n上限まで選択せず実行しますか？

produce.lesson.limit_turn, {0}ターン
produce.lesson.current_turn,現在{0}ターン目
produce.lesson.turn,{0}ターン目
produce.lesson.condition_exam, / {0}
produce.lesson.condition_exam_none, / -
produce.lesson.condition, {0}以上

produce.lesson.block,元気
produce.lesson.parameter,パラメータ
produce.lesson.stamina,体力
produce.lesson.max_stamina,最大体力
produce.lesson.card,スキルカード
produce.lesson.card_playable_value,スキルカード使用可能回数
produce.lesson.ppoint,Pポイント
produce.lesson.stance,指針
produce.lesson.clear_border,目標
produce.lesson.full_power_point,全力値
produce.lesson.buff,効果
produce.lesson.enchant,エンチャント

produce.lesson.tension, +{0}
produce.lesson.stamina_less, 　体力が不足しています
produce.lesson.trigger_disable, 使用可能になる条件を満たしていません
produce.lesson.restrict, このスキルカードは使用できません
produce.lesson.cost_less,{0}が不足しています
produce.lesson.execute_confirm, 発動確認
produce.lesson.no_effect, 発揮されない効果があります\n実行しますか？
produce.lesson.no_effect.block_zero,元気値が0のため効果が発動されません。
produce.lesson.no_effect.no_upgrade,対象となるスキルカードの中に強化可能なものが\n存在しないため効果が発動しません。
produce.lesson.no_effect.lesson_buff_zero,集中の値が０のため効果が発動しません。
produce.lesson.no_effect.review_zero,好印象の値が０のため効果が発動しません。
produce.lesson.no_effect.aggressive_zero,やる気の値が０のため効果が発動しません。
produce.lesson.no_effect.parameter_buff_zero,好調状態ではないため効果が発動しません。
produce.lesson.no_effect.search_card_none,対象となるスキルカードが存在しないため効果が発動しません。
produce.lesson.no_effect.stance_same,すでに変更先の指針であるため効果が発動しません。
produce.lesson.no_effect.hand_limit,選択枠がすでに上限枚数であるため効果が発動しません。
produce.lesson.no_effect.timer_over,残りターンが少ないため効果が発動しません。
produce.lesson.no_effect.stamina_max,体力が最大のため効果が発動しません。
produce.lesson.no_effect.sheet_suffix,\n実行しますか？
produce.lesson.warning_end,まだスキルカードを使用することができますが\n本当にターン終了しますか？
produce.lesson.warning_end_recover,\n(体力が{0}回復します)
produce.lesson.warning_end.title, ターン終了
produce.lesson.preservation, 温存
produce.lesson.full_power, 全力
produce.lesson.concentration, 集中
produce.lesson.trigger.status,状態
produce.lesson.trigger.status_not,状態外
produce.lesson.trigger.select_already,選択済
produce.lesson.trigger.select_not,未選択
produce.lesson.trigger.upper,{0}↑
produce.lesson.trigger.lower,{0}↓
produce.lesson.remain_value_prefix,{0}まで
produce.lesson.clear,クリア
produce.lesson.limit,上限
produce.lesson.clear.en,CLEAR
produce.lesson.limit.en,PERFECT
produce.lesson.buff_list.buff.empty,発動中効果なし
produce.lesson.buff_list.item.empty,発動可能Pアイテムなし
produce.lesson.remain_turn,ターン後
produce.lesson.remain_turn_passed,ターン前
produce.lesson.stamina.hover,体力{0}/{1}\n元気{2}
produce.lesson.parameter_round.clear.hover,あと{0}でCLEAR\n
produce.lesson.parameter_round.perfect.hover,あと{0}でPERFECT
produce.lesson.parameter.hover,次のランクまで{0}
produce.lesson.parameter.mix.hover,レッスン終了後にボーカル・\nダンス・ビジュアルに分配\nされます
produce.lesson.sheet.play_confirm.title,スキルカード使用確認
produce.lesson.sheet.play_confirm.drink.title,Pドリンク使用確認
produce.lesson.sheet.play_confirm.drink.description,発揮されない効果があります。\n実行しますか？

produce.lesson.great,GREAT!
produce.lesson.perfect,PERFECT!
produce.lesson.gimmick.title,ギミック詳細
produce.lesson.log.title,レッスンログ
produce.lesson.log.title.card,スキルカード「{0}」
produce.lesson.log.title.drink,Pドリンク「{0}」
produce.lesson.log.title.item,Pアイテム「{0}」
produce.lesson.log.title.gimmick.positive,応援
produce.lesson.log.title.gimmick.negative,トラブル
produce.lesson.log.title.skill,メモリーアビリティ
produce.lesson.log.title.enchant,持続効果「{0}」
produce.lesson.log.detail.stance.add,{0}に変化
produce.lesson.log.detail.stance.reset,{0}が解除
produce.lesson.log.detail.stance.change,{0}→{1}
produce.lesson.log.detail.default,{0} → {1}
produce.lesson.log.detail.buff,{0}が付与
produce.lesson.log.detail.card_add,「{0}」を\n{1}枚{2}に追加
produce.lesson.log.detail.card_draw,「{0}」を\n{1}枚山札から引いた
produce.lesson.log.detail.card_upgrade,「{0}」を強化
produce.lesson.log.detail.card_remove,「{0}」を削除
produce.lesson.log.detail.card_duplicate,「{0}」を複製
produce.lesson.log.detail.card_duplicate_upgrade,「{0}」を複製して強化
produce.lesson.log.detail.card_change,「{0}」→「{1}」に変化
produce.lesson.log.detail.card_change_upgrade,「{0}」→「{1}」に変化して強化
produce.lesson.log.detail.card_force_play,「{0}」を使用
produce.lesson.log.detail.card_forecast,次のターンのスキルカードを{0}枚予測
produce.lesson.log.detail.turn.add,ターンを{0}ターン追加
produce.lesson.log.detail.clear,CLEAR!
produce.lesson.log.detail.turn_end,スキルカード未使用

produce.audition.refresh.title.tutorial,最終試験前日

produce.audition.clear,{0}位以上で{1}突破
produce.audition.force_clear,{0}位以上またはスコア{1}以上で{2}突破
produce.audition.result.continue_count_free,本日あと{0}回無料
produce.audition.result.continue_count,あと{0}回
produce.audition.result.continue_disable.no_item,再挑戦チケットがありません
produce.audition.result.continue_disable.no_count,再挑戦回数が上限です
produce.audition.result.continue_warning_sheet.title,再挑戦確認
produce.audition.result.continue_warning_sheet.description,再挑戦が可能ですが本当に終了しますか？\n<color=#u:Negative>プロデュース終了を選択した場合は失敗となります</color>
produce.audition.result.continue_warning_sheet.button.end,プロデュース終了
produce.audition.result.continue_confirm_sheet.remain_count_title,残り再挑戦回数
produce.audition.result.continue,再挑戦
produce.audition.result.continue_confirm_sheet.description,再挑戦アイテムを消費して、試験に再挑戦しますか？\nスキルカードを引く順番やライバルの行動が再抽選されます
produce.audition.result.continue_confirm_sheet.description_warning,プロデュース終了を選択した場合は失敗となります

produce.contest.toggle.end.toast,視点の切り替えができません

produce.result.reward_dialog, 報酬確認
produce.result.reward_drink_confirm, Pドリンクはこれ以上持てません\n所持しているPドリンクを使用するか\n捨てることで新たに獲得することができます
produce.result.parameter_message,{0}.が<color=#u:Positive>{1}</color>上昇した!
produce.result.memory_save.description.local,端末に保存するフォトを選択してください
produce.result.memory_save.description.album,アルバムに保存するフォトを選択してください
produce.result.memory_save.title_local,端末保存
produce.result.memory_save.title_album,アルバム保存
produce.result.memory_save.confirm,選択したフォトをメモリーとして保存しますか？
produce.result.memory_save.warning,※保存していないフォトは削除されます
produce.result.fan_count_diff,+({0})
produce.result.memory_save.album_limit,アルバム上限{0}/{1}枚
produce.result.photo.save_local.toast,フォトを端末に保存しました
produce.result.photo.save_album.toast,フォトをアルバムに保存しました
produce.result.photo.delete.toast,{0}枚フォトをアルバムから削除しました
produce.result.photo.delete_save.toast,{0}枚削除し新しいフォトをアルバムに保存しました
produce.result.photo.save_limit.title,フォト保存枚数上限
produce.result.photo.save_limit.description,保存可能枚数が上限に達しています
produce.result.photo.save_limit.description2,選択したフォトをすべて保存するには\n{0}枚のフォトを削除する必要があります
produce.result.photo.save_limit.execute,フォト削除へ

produce.result.photo.save_over_select.title,フォト削除
produce.result.photo.save_over_select.description,削除するフォトを{0}枚選択してください
produce.result.photo.save_over_select.button,削除する
produce.result.photo.save_over_select.confirm.title,削除確認
produce.result.photo.save_over_select.confirm.description,{0}枚のフォトを削除します。\nよろしいですか？
produce.result.photo.save_over_select.current_photo,今回撮影したフォト
produce.result.photo.save_over_select.saved_photo,フォトアルバム

produce.result.photo.upload.failed.title,エラー
produce.result.photo.upload.failed.description,エラーによりフォトを保存できませんでした

produce.result.reward.title,獲得アイテム
produce.result.reward.title.normal,プロデュース
produce.result.reward.title.event,イベント
produce.result.reward.cp,CP効果
produce.result.reward.event_bonus.value,+{0}%
produce.result.cp,キャンペーン
produce.result.achievement.title,アチーブメント進捗
produce.result.achievement.complete,達成
produce.result.achievement.progress,ランクUP

produce.continue.consumption.item, {0}を使って実習をやり直しますか？\n実習開始前の状態から体力全回復でスタートします
produce.continue.count, 残りコンティニュー可能数 {0}回

produce.memory.skill_name,{0} Lv{1}

// プロデュース評価Overlay
produce.evaluate_overlay.title,最終プロデュース評価
produce.evaluate_overlay.execute,次へ

// ホーム
home.top.title,ホーム
// HomeFooterButtonType
home.footer.button_type.Story,コミュ
home.footer.button_type.Idol,アイドル
home.footer.button_type.Home,ホーム
home.footer.button_type.Pvp,コンテスト
home.footer.button_type.Gasha,ガシャ

// ホームのコミュページ
home.story.title,COMMU
home.story.label,コミュ
home.story.main.label,初星コミュ
home.story.idol.label,アイドル\nコミュ
home.story.support.label,サポート\nコミュ
home.story.event.label,イベント\nコミュ
home.story.event.lock_toast,イベントコミュはありません

// ホームのアイドルページ
home.idol.title,IDOL
home.idol.label,アイドル
home.idol.idol_card.label,Pアイドル\n育成
home.idol.produce.label,プロデュース編成
home.idol.memory.list,メモリー
home.idol.support_card.list,サポート\nカード

// ホームのメインページ
home.produce.week,週目
home.produce.tutorial_reward,SSRプロデュースアイドル\n獲得可能！
home.produce.campaign,キャンペーン中
home.present,プレゼント
home.mission,ミッション
home.work,お仕事
home.work.completed,完了
home.money,活動費
home.money.max,MAX
home.mission_pass,パス
home.event,イベント
home.shop,ショップ
home.achievement,アチーブ
home.shop.balloon.sale,期間限定\nセール中
home.main_task.first_balloon.text,{0}に挑戦
home.main_task.final_balloon.text,{0}{1}で獲得
home.main_task.button,課題

// ホームアイドル設定シート
home.character_change_sheet.title,ホームアイドル設定
home.character_change_sheet.change,変更
home.character_change_sheet.costume_button,着替え

// ホームアイドル設定の選択シート
home.character_select_sheet.title,{0}設定

// ホームのコンテストページ
home.pvp.title,CONTEST
home.pvp.contest.label,コンテスト
home.pvp.contest.rate,レートPt
home.pvp.contest.aggregate,集計中
home.pvp.contest.next_term,次回シーズン更新：
home.pvp.contest.is_progress,コンテスト挑戦中
home.pvp.contest.none,-
home.pvp.tower.label,タワー
home.pvp.contest.prepare,前シーズン集計
home.pvp.contest.prepare.label,準備期間

// ホームのガシャページ
home.gasha.point,交換Pt
home.gasha.detail.gasha,ガシャ詳細
home.gasha.detail.probability,提供割合
home.gasha.detail.idol,詳細
home.gasha.detail.idol.extra_text.costume,衣装・付き!
home.gasha.detail.idol.extra_text.costume_and_music,楽曲・衣装付き!
home.gasha.detail.idol.extra_text.all,楽曲・衣装･髪型付き!
home.gasha.detail.bonus_reward.idol_card.prefix,対象のアイドル獲得で
home.gasha.detail.bonus_reward.support_card.prefix,対象のサポート獲得で
home.gasha.detail.bonus_reward.suffix,GET
home.gasha.draw_button.draw_single_text,引く
home.gasha.draw_button.draw_count_text,回引く
home.gasha.draw_button.with,で
home.gasha.draw_button.jewel.paid,有償
home.gasha.draw_button.free,無料
home.gasha.draw_button.item,チケット
home.gasha.draw_button.item.count,所持
home.gasha.draw_button.balloon.drawable_count.prefix,あと
home.gasha.draw_button.balloon.drawable_count.suffix,回
home.gasha.draw_button.balloon.limit_count,1日{0}回
home.gasha.draw_button.balloon.step_count,STEP{0}
home.gasha.draw_button.balloon.fix_ssr,SSR確定
home.gasha.draw_button.balloon.discount.first_only,初回割引
home.gasha.draw_button.balloon.discount.other,割引
home.gasha.banner.limit.none,期限なし
home.gasha.banner.bonus_reward,のおまけ付き!

// ガシャ（ステップアップ）
home.gasha.step_up.step,STEP
home.gasha.step_up.draw_count,連
home.gasha.step_up.bonus_reward,おまけ
home.gasha.step_up.loop,※STEP1に戻る

// ガシャ台（目玉報酬）
home.gasha.feature_reward_group.label,目玉報酬

// ガシャ台（ボックス）
home.gasha.box_info.number,BOX{0}回目
home.gasha.box_info.obtained_count,獲得数

// ガシャ台（ピックアップ）
home.gasha.select_pickup.description,ピックアップする対象を選んでください
home.gasha.select_pickup.disable.toast,ピックアップする対象を選んでください

// ガシャ詳細Overlay
home.gasha.detail_overlay.title,ガシャ詳細
home.gasha.detail_overlay.tab.notice,ガシャ情報
home.gasha.detail_overlay.tab.notice.title,ガシャ情報
home.gasha.detail_overlay.tab.regulation,注意事項
home.gasha.detail_overlay.tab.regulation.title,注意事項
home.gasha.detail_overlay.history,ガシャ履歴

// ガシャ提供割合Overlay
home.gasha.probability_detail_overlay.title,提供割合
home.gasha.probability_detail_overlay.header,{0}提供割合
home.gasha.probability_detail_overlay.tab.normal,通常提供割合
home.gasha.probability_detail_overlay.rariy_summary_header,レアリティ別提供割合
home.gasha.probability_detail_overlay.idol_card,プロデュースアイドル
home.gasha.probability_detail_overlay.support_card,サポートカード
home.gasha.probability_detail_overlay.fix_rarity_label.single,{0}確定
home.gasha.probability_detail_overlay.fix_rarity_label.multiple,{0}以上確定
home.gasha.probability_detail_overlay.bonus,付き

// ジュエル確認シート
home.gasha.draw_jewel_confirm_sheet.title,ガシャ確認
home.gasha.draw_jewel_confirm_sheet.description.multiple_button,{0}を<color=#u:Negative>{1:N0}</color>個消費して\n{2}を{3:N0}回引きますか？
home.gasha.draw_jewel_confirm_sheet.description.single_button,{0}を<color=#u:Negative>{1:N0}</color>個消費して\n{2}を引きますか？
home.gasha.draw_jewel_confirm_sheet.commercial_transaction,特定商取引法表示
home.gasha.draw_jewel_confirm_sheet.free_jewel,所持無償ジュエル
home.gasha.draw_jewel_confirm_sheet.paid_jewel,所持有償ジュエル
home.gasha.draw_jewel_confirm_sheet.short_balance_alert,所持ジュエルが不足しています
home.gasha.draw_jewel_confirm_sheet.select_pickup.description,下記のアイドルが選択されています

// アイテム確認シート
home.gasha.item_confirm_sheet.description,{0}を消費して\n{1}を1回引きますか？
home.gasha.item_confirm_sheet.description.multiple,{0}を消費して\n{1}を引きますか？
home.gasha.item_confirm_sheet.draw_count,"ガシャ回数： {0:N0}回"
home.gasha.item_confirm_sheet.coin.title,コインガシャ確認
home.gasha.item_confirm_sheet.coin.short_balance_alert,所持コインが不足しています
home.gasha.item_confirm_sheet.ticket.title,使用枚数確認
home.gasha.item_confirm_sheet.ticket.short_balance_alert,所持チケットが不足しています
home.gasha.item_confirm_sheet.execute.disable_toast,アイテムが不足しています

// ガシャ結果
home.gasha.result.idol_card,IDOL
home.gasha.result.support_card,SUPPORT
home.gasha.result.bonus_reward,おまけ
home.gasha.result.duplicate_info,獲得済みのプロデュースアイドルは「アイドルのピース」に変換されます。
home.gasha.result.sns_info,SNS投稿するものを選択してください
home.gasha.result.sns.execute_button,投稿する
home.gasha.result.sns_share_text,素敵なアイドルと出会いました

// ガシャのおまけ獲得シート
home.gasha.bonus_reward_result_sheet.title,おまけ獲得
home.gasha.bonus_reward_result_sheet.description,プレゼントに送られました

// ガシャPt交換Overlay
home.gasha.point_detail_overlay.title,交換一覧
home.gasha.point_detail_overlay.idol_card,プロデュースアイドル
home.gasha.point_detail_overlay.support_card,サポートカード
home.gasha.point_detail_overlay.point,必要交換Pt
home.gasha.point_detail_overlay.exchange,交換
home.gasha.point_detail_overlay.count_label,交換Pt
home.gasha.point_detail_overlay.description,交換Pt、交換内容はガシャごとに異なります。\n獲得済みプロデュースアイドルは「アイドルのピース」に変換されます。
home.gasha.point_detail_overlay.limit,期限
home.gasha.point_detail_overlay.obtained,獲得済
home.gasha.point_detail_overlay.execute_toast,交換しました

// ガシャPt交換確認シート
home.gasha.point_exchange_confirm_sheet.title,交換確認
home.gasha.point_exchange_confirm_sheet.description.idol_card,交換Ptを{0:N0}消費して\nプロデュースアイドルを獲得します
home.gasha.point_exchange_confirm_sheet.description.support_card,交換Ptを{0:N0}消費して\nサポートカードを獲得します
home.gasha.point_exchange_confirm_sheet.short_balance_alert,所持交換Ptが不足しています
home.gasha.point_exchange_confirm_sheet.execute,交換

// ガシャPt期限切れシート
home.gasha.point_expired_sheet.title,交換Pt
home.gasha.point_expired_sheet.description,使用期限の終了した交換Ptをフラワーに変換しました
home.gasha.point_expired_sheet.point_label,交換Pt
home.gasha.point_expired_sheet.item_label,フラワー
home.gasha.point_expired_sheet.item_count,所持フラワー
home.gasha.point_expired_sheet.present_description,所持上限に達したフラワーはプレゼントに送られました

// ガシャ訴求カードOverlay
home.gasha.pickup_list_overlay.title,アイドル詳細
home.gasha.pickup_list_overlay.idol_card,プロデュースアイドル
home.gasha.pickup_list_overlay.support_card,サポートカード
home.gasha.pickup_list_overlay.costume_button,衣装・髪型
home.gasha.pickup_list_overlay.detail_button,詳細

// コインガシャのラインナップOverlay
home.gasha.line_up_list_overlay.title,ラインナップ
home.gasha.line_up_list_overlay.pickup.title,ピックアップ報酬
home.gasha.line_up_list_overlay.normal.title,通常報酬
home.gasha.line_up_list_overlay.name,{0}　×{1:N0}
home.gasha.line_up_list_overlay.obtained,獲得数
home.gasha.line_up_list_overlay.box_reset_button,報酬リセット
home.gasha.line_up_list_overlay.box_number,{0}回目
home.gasha.line_up_list_overlay.box_count_progress,獲得数 {0:N0}/{1:N0}
home.gasha.line_up_list_overlay.box_to_current,現在のBOXへ
home.gasha.line_up_list_overlay.box_reset_toast,BOXのラインナップを更新しました

// ピックアップガシャのピックアップ選択シート
home.gasha.select_pickup_sheet.title,ピックアップ選択
home.gasha.select_pickup_sheet.description,ピックアップする対象を選択してください
home.gasha.select_pickup_sheet.tab.idol_card,Pアイドル
home.gasha.select_pickup_sheet.tab.support_card,サポートカード
home.gasha.select_pickup_sheet.is_new,未獲得

// ホームのプロデュース進捗シート
home.produce_progress_sheet.title,プロデュース再開
home.produce_progress_sheet.progress.weeks,/{0}
home.produce_progress_sheet.progress.weeks_label,週目
home.produce_progress_sheet.progress.remaining_label,あと
home.produce_progress_sheet.progress.remaining_week_label,週
home.produce_progress_sheet.idol,プロデュース中のアイドル
home.produce_progress_sheet.different_produce.alert,※選択したミッションに含まれないプロデュースです
home.produce_progress_sheet.retire,リタイア
home.produce_progress_sheet.execute,再開する

// 挑戦対象のプロデュースじゃない時の再開確認シート
home.different_produce_confirm_sheet.title,プロデュース再開確認
home.different_produce_confirm_sheet.description,現在進行中のプロデュースは\n挑戦対象のプロデュースではありません\nプロデュースを再開しますか？

// ホームのフレンドコイン獲得シート
home.friend_coin_received_sheet.title,フレンドコイン獲得
home.friend_coin_received_sheet.description,サポートカードとメモリーのレンタル報酬としてフレンドコインを<color=#u:Strong>{0}</color>獲得しました。
home.friend_coin_received_sheet.daily_limit,※1日あたりの獲得上限は{0}です
home.friend_coin_received_sheet.expire,※フレンドコインを獲得できるのはレンタルされたタイミングから30日間です
home.friend_coin_received_sheet.rental_count,{0}回
home.friend_coin_received_sheet.edit_rental,レンタル設定

// マニーの受取
home.money_toast.invalid,受け取りができません
home.money_toast.max,所持上限に達しているマニーはプレゼントに送られました
home.money_received_sheet.title,活動費
home.money_received_sheet.max,MAX
home.money_received_sheet.elapsed_time,経過時間
home.money_received_sheet.amount_pre_hour_label,1時間あたり
home.money_received_sheet.amount_per_hour_value,+{0:N0}
home.money_received_sheet.max_amount,保管上限
home.money_received_sheet.description,PLvが高いほど獲得量と保管上限が増加します
home.money_received_sheet.alert,所持上限に達しているマニーはプレゼントに送られました

// イベントポータル
home.event.portal.update.day, 終了まで{0}日
home.event.portal.update.hour, あと{0}時間
home.event.portal.update.minute, あと{0}分
home.event.portal.update.less, 終了
home.event.portal.label,開催中イベント
home.event.portal.list.empty,開催中のイベントはありません
home.event.portal.remain_time.open.label,開催期間
home.event.portal.remain_time.receiving.label,受け取り期間

// プレゼント
present.top.title,プレゼント
present.top.attention,※期限切れのプレゼントは自動的に削除されます　※一括受取の上限は100件までです
present.top.tab.button.list,一覧
present.top.tab.button.history,受取履歴
present.receipt.confirm.title,受取確認
present.receipt.confirm.present_list.header,{0:N0}件のプレゼントを受け取りますか？
present.receipt.result.title,受取完了
present.receipt.result.present_list.header,以下のプレゼントを受け取りました。
present.receipt.result.present_list.reward.header,以下の報酬を受け取りました。
present.receipt.confirm.present_one.header,プレゼントを受け取りますか？
present.receipt.result.present_one.header,プレゼントを受け取りました
present.receipt.result.unopen, ※所持上限に達しているプレゼントは受け取れませんでした
present.receipt.result.reward.unopen, ※所持上限に達しているアイテムはプレゼントに送られます
present.receipt.result.toast.text,受取が完了しました
present.receipt.limit, 所持上限に達しているため受け取れませんでした
present.receipt.empty, 受取可能なプレゼントはありません
present.filter.title, フィルタ
present.filter.label_idol,Pアイドル
present.filter.label_support,サポートカード
present.filter.label_jewel,ジュエル
present.filter.label_memory,メモリー
present.filter.label_item,アイテム
present.filter.label_costume,衣装
present.filter.label_other,その他
present.empty.list,受取可能なプレゼントはありません
present.empty.history,受け取ったプレゼントはありません
present.receive_limit, 受取期限
present.receive_limit.expired_receive,受取期限を過ぎたプレゼントがあるため受取ができません。\n画面を更新します。
present.present_list.cell.label_received,取得
present.present_list.cell.label_limit,期限
present.history_list.cell.label_received,受取日時

// ライブ前評価
produce.before_live_evaluate.next_button,次へ
produce.before_live_evaluate.header,True End条件
produce.before_live_evaluate.footer,3つのアチーブメントを獲得した状態で試験1位

// カード (アイドル)
card.top.title,アイドル
card.list.title,アイドル一覧

// プロデュースキャンペーン
produce_campaign.label,キャンペーン
produce_campaign.short_name.ap_down_half,AP半減
produce_campaign.short_name.ap_down_free,AP無料

// プロデュース選択共通
produce_prepare.button.produce_select.level,Lv{0}
produce_prepare.button.enter,次へ
produce_prepare.button.growth_info,育成情報
produce_prepare.button.select_info,編成詳細
produce_prepare.button.confirm_effect,効果一覧
produce_prepare.button.produce_skill,サポートアビリティ
produce_prepare.button.produce_event,イベント
produce_prepare.button.live_battle_skill,Lアビリティ
produce_prepare.label.selected,選択中
produce_prepare.label.produce_skill_empty,サポートアビリティがありません
produce_prepare.label.produce_event_empty,イベントがありません
produce_prepare.label.live_battle_skill_empty,Lアビリティがありません
produce_prepare.label.produce_item,PRODUCE
produce_prepare.label.guild_member,サークル
produce_prepare.true_end_achievement,True
produce_prepare.achievement,True End条件アチーブ
// プロデュース選択TOP
produce_prepare.top.title,プロデュース
produce_prepare.top.button.support_card_deck,サポート\n編成
produce_prepare.top.button.select_idol,編成
produce_prepare.top.button.memory_deck,メモリー\n編成
produce_prepare.top.button.achievement,アチーブ
produce_prepare.top.button.ranking,ランキング
// プロデュースキャンペーン
produce_prepare.produce_campaign.remain_count,あと{0}回
produce_prepare.produce_campaign.daily_remain_count,本日あと{0}回
produce_prepare.produce_campaign.short_name.ap_half,AP半減
produce_prepare.produce_campaign.short_name.ap_free,AP無料
// プロデュースキャンペーンOverlay
produce_prepare.produce_campaign_overlay.title,開催中キャンペーン
// プロデュースアイドル選択
produce_prepare.idol_select.button.enter,次へ
produce_prepare.idol_select.button.skill,効果一覧
// プロデュース選択デッキ共通
produce_prepare.deck.rental,レンタル
produce_prepare.deck.rental_only,レンタルのみ
// プロデュースサポートデッキ選択
produce_prepare.deck.support_card.label.rental_only,レンタルのみ
produce_prepare.deck.support_card.label.rental,レンタル
produce_prepare.deck.support_card.toast.invalid_resource_count,サポートカードを選択してください
produce_prepare.deck.support_card.toast.invalid_rental,レンタルサポートカードを選択してください
produce_prepare.deck.support_card.toast.invalid_support_card_id,サポートカードが重複しています
produce_prepare.deck.support_card.toast.invalid_plan_type,プラン不一致のサポートカードが編成されています
// プロデュースサポートデッキ編成
produce_prepare.support_card_deck_edit.title,サポート編成
produce_prepare.support_card_deck_name,サポートカード編成 {0}
produce_prepare.support_card_deck_name_edit_sheet.title,サポートカード編成
produce_prepare.support_card_deck_name_edit_sheet.description,サポートカード編成の名前を入力してください
produce_prepare.support_card_deck_edit.change,サポートカード入れ替え
produce_prepare.support_card_deck_edit.change_confirm,すでに同名のサポートカードを編成中です\n編成中のサポートカードを外し、選択中のサポートカードと入れ替えますか？
produce_prepare.support_card_deck_edit.change_execute,入れ替える
produce_prepare.support_card_deck_edit.empty_reset,編成されているサポートカードはありません

// プロデュースメモリーデッキ選択
produce_prepare.deck.memory.label.rental_enable,レンタル可
produce_prepare.deck.memory.label.rental,レンタル
produce_prepare.deck.memory.label.rental_remain_count,本日レンタル可能回数 {0}/{1}
// プロデュースメモリーデッキ編成
produce_prepare.memory_deck_edit.title,メモリー編成
produce_prepare.memory_deck_name,メモリー編成 {0}
produce_prepare.memory_deck_edit.confirm,メモリー編成確認
produce_prepare.memory_deck_edit.confirm_description,メモリーを編成可能な未編成の枠があります\nこのまま編成を完了してもよろしいですか？
produce_prepare.memory_deck_edit.confirm_complete,完了する
produce_prepare.memory_deck_edit.empty_reset,編成されているメモリーがありません
produce_prepare.memory_deck_edit.card_lock_level,PLv{0}\nで解放
produce_prepare.memory_deck_edit.campaign,回数増加中

// プロデュースデッキ編成共通
produce_prepare.deck_edit.detail,編成詳細
produce_prepare.deck_edit.none_set,未設定
produce_prepare.deck_edit.no_reward_support,獲得Pイベント\nなし

// プロデュース編成情報
produce_prepare.select_info.title,編成詳細
produce_prepare.select_info.tab_button_1,カード/アイテム
produce_prepare.select_info.tab_button_2,アビリティ
produce_prepare.select_info.tab_button_3,イベント
produce_prepare.select_info.resource_list.initial,プロデュース開始時から所持
produce_prepare.select_info.resource_list.playing,プロデュース中獲得
produce_prepare.select_info.resource_list.memory_name,メモリー{0}
produce_prepare.select_info.resource_list.produce_card_title,初期スキルカード
produce_prepare.select_info.skill_list.idol_skill,Pアイドルアビリティ
produce_prepare.select_info.skill_list.lesson_support,レッスンサポート
produce_prepare.select_info.skill_list.support_card_skill,サポートアビリティ
produce_prepare.select_info.skill_list.memory_skill,メモリーアビリティ
produce_prepare.select_info.resource_list.empty,スキルカード/Pアイテムがありません
produce_prepare.select_info.skill_list.empty,レッスンサポート/アビリティがありません
produce_prepare.select_info.skill_list.empty_memory_only,アビリティがありません
produce_prepare.select_info.event_list.empty,サポートイベントがありません
produce_prepare.select_info.event_memory_only,メモリー編成画面のためサポートイベントはありません
// プロデュースデッキ名変更
produce_prepare.deck_name_edit_sheet.title,編成名変更
produce_prepare.deck_name_edit_sheet.description,編成名を入力してください
// 編成リセット確認シート
produce_prepare.deck_reset_confirm_sheet.title,編成リセット
produce_prepare.deck_reset_confirm_sheet.description.support_card,編成されているサポートカードをすべて外します\n<color=#u:Negative>※現在の編成は保存されません</color>
produce_prepare.deck_reset_confirm_sheet.description.memory,編成されているメモリーをすべて外します\n<color=#u:Negative>※現在の編成は保存されません</color>
// おまかせ編成確認シート
produce_prepare.deck_auto_set_confirm_sheet.title,おまかせ編成
produce_prepare.deck_auto_set_confirm_sheet.description.announce,編成の基準となるプランを選択してください
produce_prepare.deck_auto_set_confirm_sheet.button.execute,編成する
produce_prepare.deck_auto_set_confirm_sheet.description.support_card,自動でサポートカードを編成します\n<color=#u:Negative>※現在の編成は保存されません</color>
produce_prepare.deck_auto_set_confirm_sheet.description.memory,自動でメモリーを編成します\n<color=#u:Negative>※現在の編成は保存されません</color>
produce_prepare.deck_auto_set_confirm_sheet.enable_rental,レンタルを使用
produce_prepare.deck_auto_set_confirm_sheet.remain_rental_count_label,本日残りレンタル回数
produce_prepare.deck_auto_set_confirm_sheet.remain_rental_count_value,{0}/{1}
produce_prepare.deck_auto_set_confirm_sheet.campaign,回数増加中
produce_prepare.deck_auto_set_confirm_sheet.rental_count_shortage,本日の残りレンタル回数がありません
// おまかせ編成エラートースト
produce_prepare.deck_auto_set.error.empty_memory,編成可能なメモリーを所持していません
produce_prepare.deck_auto_set.error.rental_memory_consumption_shortage,マニー不足のためレンタルできないメモリーがあります
produce_prepare.deck_auto_set.error.all_rental_memory_consumption_shortage,マニー不足のためメモリーをレンタルできませんでした
// レンタルメモリー可能確認シート
produce_prepare.rental_memory_enable_confirm_sheet.title,レンタル可能
produce_prepare.rental_memory_enable_confirm_sheet.description,メモリーレンタル回数が残っています。\nレンタルメモリーを編成せず次へ進みますか？
// レンタルメモリー消費確認シート
